source_row_number,legajo_canonico,row_kind,raw_ubicacion,raw_concesion,raw_manzana,raw_parcela,source_component_profile,source_component_count,source_ncp_derived,source_ncp_derivation_status,match_method,match_count,confidence,reason,parcela_id,ncp,ncp_formatted,ncp_format_status,sec,gru,nmanz,nparc,lon,lat,auto_lon,auto_lat,geolocation_source,admin_override_reason,admin_override_updated_at,postal_address_available,cadastral_reference_available,dual_verification_ready,address_query,address_geocode_status,address_match_name,address_lon,address_lat,address_vs_auto_cadastral_distance_m,address_vs_cadastral_distance_m,auto_location_verification_status,location_verification_status
5,2,detail,Seraohin Degeneve s/Nº,2,,73,gru+parc,2,0100010170020000--073--,derived_from_source_gru_parc,gru_parc,1,medium,unique_match_by_gru_parc,33840,0100010170020000--073--,0100010170020000--073--,matches_source_ncp,17,2,0,73,-58.14773675,-32.24840190,-58.14773675,-32.24840190,automatic,,,yes,yes,no,"Seraohin Degeneve º, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
6,3,detail,Calle Privada s/Nº - Los Bretes,274,,1,gru+parc,2,,ambiguous_source_components,gru_parc,2,low,ambiguous_match_by_gru_parc,31513,0100010052740000--001--,0100010052740000--001--,matches_source_ncp,5,274,0,1,-58.18882351,-32.21699616,-58.18882351,-32.21699616,automatic,,,yes,yes,no,"Calle Privada º, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
7,4,detail,"E. Gouchón Nº 252, 529 (antes 513)",,91,7,manz+parc,2,0100010000000091--007--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,29308,0100010000000091--007--,0100010000000091--007--,matches_source_ncp,0,0,91,7,-58.14484393,-32.22198949,-58.14484393,-32.22198949,automatic,,,yes,yes,yes,"E. Gouchón 252, Colón",matched_ign,"EMILIO GOUCHON 252, Colón, Entre Ríos",-58.14014349,-32.21888242,561.14,561.14,review_large_gap,review_large_gap
8,5,detail,Tucumán Nº  1092 y 1096,41,394,5,gru+manz+parc,3,0100011020410394--005--,derived_from_source_gru_manz_parc,gru_manz_parc,1,high,unique_match_by_gru_manz_parc,35675,0100011020410394--005--,0100011020410394--005--,matches_source_ncp,102,41,394,5,-58.14846874,-32.23443423,-58.14846874,-32.23443423,automatic,,,yes,yes,yes,"Tucumán 1092, Colón",matched_ign,"TUCUMAN 1092, Colón, Entre Ríos",-58.14870991,-32.23426168,29.71,29.71,verified_close,verified_close
9,6,detail,Bvard Gaillard esq. Lavalle,,751,3,manz+parc,2,0100010000000751--003--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,31365,0100010000000751--003--,0100010000000751--003--,matches_source_ncp,0,0,751,3,-58.14248407,-32.21525922,-58.14248407,-32.21525922,automatic,,,yes,yes,no,"Boulevard Gaillard esq. Lavalle, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
10,7,detail,Calle Pública s/Nº,223,6,1,gru+manz+parc,3,0100010162230006--001--,derived_from_source_gru_manz_parc,gru_manz_parc,1,high,unique_match_by_gru_manz_parc,33922,0100010162230006--001--,0100010162230006--001--,matches_source_ncp,16,223,6,1,-58.18218322,-32.25838219,-58.18218322,-32.25838219,automatic,,,yes,yes,no,"Calle Pública º, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
11,8,detail,Cabo Pereyra N° 155 y 157 esq Gouchón,,282,12,manz+parc,2,0100010000000282--012--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,34533,0100010000000282--012--,0100010000000282--012--,matches_source_ncp,0,0,282,12,-58.15838282,-32.23180248,-58.15838282,-32.23180248,automatic,,,yes,yes,yes,"Cabo Pereyra 155, Colón",matched_ign,"CABO 1RO C PEREYRA 155, Colón, Entre Ríos",-58.15866156,-32.23206619,39.33,39.33,verified_close,verified_close
12,9,detail,Rocamora Nº 1177 e/Piamonte y Penon,34,351,1,gru+manz+parc,3,0100011010340351--001--,derived_from_source_gru_manz_parc,gru_manz_parc,1,high,unique_match_by_gru_manz_parc,32925,0100011010340351--001--,0100011010340351--001--,matches_source_ncp,101,34,351,1,-58.15877839,-32.22650508,-58.15877839,-32.22650508,automatic,,,yes,yes,no,"Rocamora 1177 esq Piamonte y Penon, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
13,10,detail,San Martín Nº 859,,508,17,manz+parc,2,0100010000000508--017--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,35048,0100010000000508--017--,0100010000000508--017--,matches_source_ncp,0,0,508,17,-58.14877917,-32.22734158,-58.14877917,-32.22734158,automatic,,,yes,yes,yes,"San Martín 859, Colón",matched_ign,"AV SAN MARTIN 859, Colón, Entre Ríos",-58.14855674,-32.22747522,25.66,25.66,verified_close,verified_close
14,11,detail,Paso de los Andes s/Nº esq. Salsipuedes,327,,3,gru+parc,2,,ambiguous_source_components,gru_parc,11,low,ambiguous_match_by_gru_parc,33272,0100010123270001--003--,0100010123270001--003--,matches_source_ncp,12,327,1,3,-58.16032537,-32.22901705,-58.16032537,-32.22901705,automatic,,,yes,yes,no,"Paso de los Andes º esq. Salsipuedes, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
15,12,detail,9 de Julio N° 309,,123,21,manz+parc,2,0100010000000123--021--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,36497,0100010000000123--021--,0100010000000123--021--,matches_source_ncp,0,0,123,21,-58.14482536,-32.21824398,-58.14482536,-32.21824398,automatic,,,yes,yes,yes,"9 de Julio 309, Colón",matched_ign,"9 DE JULIO 309, Colón, Entre Ríos",-58.14491185,-32.21845701,25.05,25.05,verified_close,verified_close
16,13,detail,Calle Pública s/Nº,1,,80,gru+parc,2,,ambiguous_source_components,gru_parc,2,low,ambiguous_match_by_gru_parc,34756,0100010190010000--080--,0100010190010000--080--,matches_source_ncp,19,1,0,80,-58.22783435,-32.29217574,-58.22783435,-32.29217574,automatic,,,yes,yes,no,"Calle Pública º, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
17,14,detail,Bernard Nº 434,,664,11,manz+parc,2,0100010000000664--011--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,26210,0100010000000664--011--,0100010000000664--011--,matches_source_ncp,0,0,664,11,-58.13406422,-32.23031772,-58.13406422,-32.23031772,automatic,,,yes,yes,yes,"Bernard 434, Colón",matched_ign,"J BERNARD 434, Colón, Entre Ríos",-58.13424021,-32.23017335,23.06,23.06,verified_close,verified_close
18,15,detail,Madres y Abuelas de Plaza de Mayo s/Nº,354,3,2,gru+manz+parc,3,0100010063540003--002--,derived_from_source_gru_manz_parc,gru_manz_parc,1,high,unique_match_by_gru_manz_parc,35710,0100010063540003--002--,0100010063540003--002--,matches_source_ncp,6,354,3,2,-58.16024894,-32.21431366,-58.16024894,-32.21431366,automatic,,,yes,yes,no,"Madres y Abuelas de Plaza de Mayo º, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
19,16,detail,Calle Pùblica s/Nº,225,6,4,gru+manz+parc,3,0100010112250006--004--,derived_from_source_gru_manz_parc,gru_manz_parc,1,high,unique_match_by_gru_manz_parc,36254,0100010112250006--004--,0100010112250006--004--,matches_source_ncp,11,225,6,4,-58.18780645,-32.24653113,-58.18780645,-32.24653113,automatic,,,yes,yes,no,"Calle Pùblica º, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
20,17,detail,Calle Chaiñar esq Madres y Abuelas de P. de Mayo,355,6,5,gru+manz+parc,3,0100010063550006--005--,derived_from_source_gru_manz_parc,gru_manz_parc,1,high,unique_match_by_gru_manz_parc,33422,0100010063550006--005--,0100010063550006--005--,matches_source_ncp,6,355,6,5,-58.16227389,-32.20985376,-58.16227389,-32.20985376,automatic,,,yes,yes,no,"Calle Chaiñar esq Madres y Abuelas de P. de Mayo, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
21,17,detail_continuation,Madres y Abuelas de P de Mayo,,,4,parc,1,,no_unique_parcel_inference,none,0,low,no_cadastral_match,,,,missing_components,,,,,,,,,automatic,,,yes,yes,no,"Madres y Abuelas de P de Mayo, Colón",no_ign_match,,,,,,missing_both_points,missing_both_points
22,18,detail,Florentina Gómez Miranda esq Mitre Nº 1257,27,312,5,gru+manz+parc,3,0100011020270312--005--,derived_from_source_gru_manz_parc,gru_manz_parc,1,high,unique_match_by_gru_manz_parc,37697,0100011020270312--005--,0100011020270312--005--,matches_source_ncp,102,27,312,5,-58.15023141,-32.23629024,-58.15023141,-32.23629024,automatic,,,yes,yes,no,"Florentina Gómez Miranda esq Mitre 1257, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
23,19,detail,Milsten esq Espinillo - Loteo Blanc,355,1,1,gru+manz+parc,3,0100010063550001--001--,derived_from_source_gru_manz_parc,gru_manz_parc,1,high,unique_match_by_gru_manz_parc,33037,0100010063550001--001--,0100010063550001--001--,matches_source_ncp,6,355,1,1,-58.16043085,-32.20841605,-58.16043085,-32.20841605,automatic,,,yes,yes,no,"Milsten esq Espinillo, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
26,21,detail,Chacabuco Nº 346 esq Maipú Nº 193,,147,17,manz+parc,2,0100010000000147--017--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,30246,0100010000000147--017--,0100010000000147--017--,matches_source_ncp,0,0,147,17,-58.14230470,-32.21942488,-58.14230470,-32.21942488,automatic,,,yes,yes,yes,"Chacabuco 346, Colón",matched_ign,"CHACABUCO 346, Colón, Entre Ríos",-58.14244835,-32.21937049,14.81,14.81,verified_close,verified_close
27,22,detail,Tucumán Nº 1175,28,340,18,gru+manz+parc,3,0100011020280340--018--,derived_from_source_gru_manz_parc,gru_manz_parc,1,high,unique_match_by_gru_manz_parc,37552,0100011020280340--018--,0100011020280340--018--,matches_source_ncp,102,28,340,18,-58.15028484,-32.23499263,-58.15028484,-32.23499263,automatic,,,yes,yes,yes,"Tucumán 1175, Colón",matched_ign,"TUCUMAN 1175, Colón, Entre Ríos",-58.15011488,-32.23528997,36.72,36.72,verified_close,verified_close
28,23,detail,Combatientes de Malvinas Nº 130,,801,10,manz+parc,2,0100010000000801--010--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,31772,0100010000000801--010--,0100010000000801--010--,matches_source_ncp,0,0,801,10,-58.14367880,-32.21164941,-58.14367880,-32.21164941,automatic,,,yes,yes,yes,"Combatientes de Malvinas 130, Colón",matched_ign,"COMBATIENTES DE MALVINAS 130, Colón, Entre Ríos",-58.14386941,-32.21158572,19.28,19.28,verified_close,verified_close
29,24,detail,Calle Lapacho Nº 95,326,18,16,gru+manz+parc,3,0100010123260018--016--,derived_from_source_gru_manz_parc,gru_manz_parc,1,high,unique_match_by_gru_manz_parc,36542,0100010123260018--016--,0100010123260018--016--,matches_source_ncp,12,326,18,16,-58.16302873,-32.23433813,-58.16302873,-32.23433813,automatic,,,yes,yes,no,"Calle Lapacho 95, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
30,25,detail,Salta Nº 239,,45,10,manz+parc,2,0100010000000045--010--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,31967,0100010000000045--010--,0100010000000045--010--,matches_source_ncp,0,0,45,10,-58.14818326,-32.22269967,-58.14818326,-32.22269967,automatic,,,yes,yes,yes,"Salta 239, Colón",matched_ign,"SALTA 239, Colón, Entre Ríos",-58.14853131,-32.22277966,33.93,33.93,verified_close,verified_close
31,26,detail,"Ruta Nac Nº 14, km…",75,1,1,gru+manz+parc,3,0100010030750001--001--,derived_from_source_gru_manz_parc,gru_manz_parc,1,high,unique_match_by_gru_manz_parc,26910,0100010030750001--001--,0100010030750001--001--,matches_source_ncp,3,75,1,1,-58.23357473,-32.23044816,-58.23357473,-32.23044816,automatic,,,yes,yes,no,"Ruta Nac 14, km, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
32,27,detail,Alberdi s/Nª,310,3,5,gru+manz+parc,3,0100010113100003--005--,derived_from_source_gru_manz_parc,gru_manz_parc,1,high,unique_match_by_gru_manz_parc,25712,0100010113100003--005--,0100010113100003--005--,matches_source_ncp,11,310,3,5,-58.16734350,-32.23249326,-58.16734350,-32.23249326,automatic,,,yes,yes,no,"Alberdi ª, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
33,28,detail,Creppy Nº 79,,37,12,manz+parc,2,0100010000000037--012--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,28102,0100010000000037--012--,0100010000000037--012--,matches_source_ncp,0,0,37,12,-58.14690230,-32.22553427,-58.14690230,-32.22553427,automatic,,,yes,yes,yes,"Creppy 79, Colón",matched_ign,"FRANCISCO CREPPY 79, Colón, Entre Ríos",-58.14711070,-32.22568954,26.12,26.12,verified_close,verified_close
34,29,detail,Paso de los Andes s/Nº 2182,327,5,15,gru+manz+parc,3,0100010123270005--015--,derived_from_source_gru_manz_parc,gru_manz_parc,1,high,unique_match_by_gru_manz_parc,37362,0100010123270005--015--,0100010123270005--015--,matches_source_ncp,12,327,5,15,-58.16369878,-32.23085113,-58.16369878,-32.23085113,automatic,,,yes,yes,no,"Paso de los Andes º 2182, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
35,30,detail,Calle Privada s/Nº - Los Bretes,3,1,32,gru+manz+parc,3,0100010170030001--032--,derived_from_source_gru_manz_parc,gru_manz_parc,1,high,unique_match_by_gru_manz_parc,37240,0100010170030001--032--,0100010170030001--032--,matches_source_ncp,17,3,1,32,-58.13572227,-32.24416646,-58.13572227,-32.24416646,automatic,,,yes,yes,no,"Calle Privada º, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
36,31,detail,Noailles Nº 546,,86,10,manz+parc,2,0100010000000086--010--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,27865,0100010000000086--010--,0100010000000086--010--,matches_source_ncp,0,0,86,10,-58.14076401,-32.22631645,-58.14076401,-32.22631645,automatic,,,yes,yes,yes,"Noailles 546, Colón",matched_ign,"GRL NOAILLES 546, Colón, Entre Ríos",-58.14091907,-32.22621130,18.69,18.69,verified_close,verified_close
37,31,detail_continuation,Bvard Gûemes Nº 168,,86,9,manz+parc,2,0100010000000086--009--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,27801,0100010000000086--009--,0100010000000086--009--,matches_source_ncp,0,0,86,9,-58.14056541,-32.22641882,-58.14056541,-32.22641882,automatic,,,yes,yes,yes,"Güemes 168, Colón",matched_ign,"AV MARTIN M DE GUEMES 168, Colón, Entre Ríos",-58.14084457,-32.22659826,32.98,32.98,verified_close,verified_close
39,33,detail,Calle Pública s/Nº,2,6,1,gru+manz+parc,3,0100010180020006--001--,derived_from_source_gru_manz_parc,gru_manz_parc,1,high,unique_match_by_gru_manz_parc,35925,0100010180020006--001--,0100010180020006--001--,matches_source_ncp,18,2,6,1,-58.18854268,-32.28109594,-58.18854268,-32.28109594,automatic,,,yes,yes,no,"Calle Pública º, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
40,34,detail,Moreno Nº 835 esq Bvard Gonzalez,,6,4,manz+parc,2,,ambiguous_source_components,manz_parc,13,low,ambiguous_match_by_manz_parc,26907,0100010000000006--004--,0100010000000006--004--,matches_source_ncp,0,0,6,4,-58.14650735,-32.22869214,-58.14650735,-32.22869214,automatic,,,yes,yes,no,"Moreno 835, Colón",matched_ign,"MARIANO MORENO 835, Colón, Entre Ríos",-58.14633594,-32.22887016,25.53,25.53,verified_close,verified_close
